iter	CrossEntropy
0	0.6901588517
1	0.6734935869
2	0.6573581541
3	0.6417348291
4	0.6213974513
5	0.6019149459
6	0.5996821214
7	0.5952284105
8	0.5931807175
9	0.5749751481
10	0.5707747334
11	0.5690232377
12	0.5561738502
13	0.5395292172
14	0.5358129795
15	0.5200130661
16	0.518658626
17	0.5152581046
18	0.5140118321
19	0.4991648987
20	0.4980666777
21	0.4838867134
22	0.4829193546
23	0.4726956571
24	0.462780417
25	0.4619093332
26	0.4523145495
27	0.4430064071
28	0.4422199082
29	0.430257657
30	0.4187592686
31	0.4077035779
32	0.3970704286
33	0.3893672232
34	0.3870796032
35	0.3772178619
36	0.3700788126
37	0.3608422628
38	0.3541619627
39	0.3455032901
40	0.3392465865
41	0.3388341233
42	0.3307349159
43	0.3229263269
44	0.3153955483
45	0.3081303999
46	0.3011192979
47	0.2960420883
48	0.2894429563
49	0.2846681212
50	0.2800169075
51	0.2754853026
52	0.2695670689
53	0.2638460493
54	0.258313952
55	0.2529628857
56	0.2477853389
57	0.2440456023
58	0.2391497635
59	0.2344089378
60	0.2298168479
61	0.2265001957
62	0.2221498473
63	0.2179327497
64	0.2138436415
65	0.2098775058
66	0.2060295574
67	0.202295231
68	0.1986701698
69	0.1951502151
70	0.1926033191
71	0.1901120448
72	0.1868319698
73	0.1836442386
74	0.1805454433
75	0.178305801
76	0.1753522186
77	0.1724791159
78	0.1704033409
79	0.167661731
80	0.1656823873
81	0.1630644079
82	0.1611756635
83	0.1593244903
84	0.1575098826
85	0.155099914
86	0.1533661352
87	0.1510604268
88	0.1488128565
89	0.1466214656
90	0.1444843755
91	0.1429461661
92	0.1414365423
93	0.1394237558
94	0.137459466
95	0.1355421011
96	0.1336701521
97	0.1323235124
98	0.1310007985
99	0.1292329685
